-----------------------------------
Forwarding Table for Node 0:
Destination Node      Outgoing Link
14                       (9,4)
15                       (9,4)
16                       (9,10)
17                       (9,4)
18                       (9,4)
19                       (9,4)
20                       (9,4)
21                       (9,4)
22                       (9,4)
23                       (9,4)
24                       (9,10)
25                       (9,4)
26                       (9,4)
27                       (9,27)
28                       (9,4)
29                       (9,4)
30                       (9,4)
31                       (9,4)
32                       (9,4)
33                       (9,4)
34                       (9,4)
35                       (9,4)
36                       (9,4)
37                       (9,4)
38                       (9,4)
39                       (9,4)
40                       (9,4)
41                       (9,4)
42                       (9,4)
43                       (9,4)
44                       (9,4)
45                       (9,4)
46                       (9,4)
47                       (9,4)
48                       (9,12)
49                       (9,4)
-----------------------------------
Forwarding Table for Node 10:
Destination Node      Outgoing Link
0                       (10,6)
1                       (10,6)
2                       (10,6)
3                       (10,6)
4                       (10,6)
5                       (10,6)
6                       (10,6)
7                       (10,6)
8                       (10,6)
9                       (10,9)
11                       (10,6)
12                       (10,6)
13                       (10,9)
14                       (10,6)
15                       (10,6)
16                       (10,16)
17                       (10,6)
18                       (10,6)
19                       (10,6)
20                       (10,6)
21                       (10,6)
22                       (10,6)
23                       (10,6)
24                       (10,24)
25                       (10,6)
26                       (10,6)
27                       (10,9)
28                       (10,6)
29                       (10,6)
30                       (10,6)
31                       (10,6)
32                       (10,6)
33                       (10,6)
34                       (10,6)
35                       (10,6)
36                       (10,6)
37                       (10,6)
38                       (10,6)
39                       (10,6)
40                       (10,6)
41                       (10,6)
42                       (10,6)
43                       (10,6)
44                       (10,6)
45                       (10,6)
46                       (10,6)
47                       (10,6)
48                       (10,6)
49                       (10,6)
-----------------------------------
Forwarding Table for Node 11:
Destination Node      Outgoing Link
0                       (11,5)
1                       (11,5)
2                       (11,5)
3                       (11,5)
4                       (11,4)
5                       (11,5)
6                       (11,5)
7                       (11,4)
8                       (11,4)
9                       (11,4)
10                       (11,5)
12                       (11,5)
13                       (11,4)
14                       (11,5)
15                       (11,5)
16                       (11,5)
17                       (11,4)
18                       (11,4)
19                       (11,4)
20                       (11,4)
21                       (11,21)
22                       (11,4)
23                       (11,5)
24                       (11,5)
25                       (11,5)
26                       (11,26)
27                       (11,4)
28                       (11,5)
29                       (11,5)
30                       (11,4)
31                       (11,4)
32                       (11,32)
33                       (11,5)
34                       (11,4)
35                       (11,5)
36                       (11,4)
37                       (11,4)
38                       (11,5)
39                       (11,4)
40                       (11,5)
41                       (11,4)
42                       (11,4)
43                       (11,4)
44                       (11,5)
45                       (11,45)
46                       (11,46)
47                       (11,5)
48                       (11,5)
49                       (11,49)
-----------------------------------
Forwarding Table for Node 12:
Destination Node      Outgoing Link
0                       (12,6)
1                       (12,6)
2                       (12,6)
3                       (12,6)
4                       (12,6)
5                       (12,6)
6                       (12,6)
7                       (12,6)
8                       (12,8)
9                       (12,9)
10                       (12,6)
11                       (12,6)
13                       (12,8)
14                       (12,6)
15                       (12,6)
16                       (12,6)
17                       (12,6)
18                       (12,8)
19                       (12,8)
20                       (12,8)
21                       (12,6)
22                       (12,6)
23                       (12,6)
24                       (12,6)
25                       (12,6)
26                       (12,6)
27                       (12,9)
28                       (12,6)
29                       (12,6)
30                       (12,6)
31                       (12,6)
32                       (12,6)
33                       (12,6)
34                       (12,8)
35                       (12,6)
36                       (12,6)
37                       (12,8)
38                       (12,6)
39                       (12,8)
40                       (12,6)
41                       (12,6)
42                       (12,8)
43                       (12,8)
44                       (12,6)
45                       (12,6)
46                       (12,6)
47                       (12,6)
48                       (12,48)
49                       (12,6)
-----------------------------------
Forwarding Table for Node 13:
Destination Node      Outgoing Link
0                       (13,8)
1                       (13,8)
2                       (13,8)
3                       (13,8)
4                       (13,8)
5                       (13,8)
6                       (13,8)
7                       (13,8)
8                       (13,8)
9                       (13,9)
10                       (13,9)
11                       (13,8)
12                       (13,8)
14                       (13,8)
15                       (13,8)
16                       (13,9)
17                       (13,8)
18                       (13,8)
19                       (13,8)
20                       (13,8)
21                       (13,8)
22                       (13,8)
23                       (13,8)
24                       (13,9)
25                       (13,8)
26                       (13,8)
27                       (13,9)
28                       (13,8)
29                       (13,8)
30                       (13,8)
31                       (13,8)
32                       (13,8)
33                       (13,8)
34                       (13,8)
35                       (13,8)
36                       (13,8)
37                       (13,8)
38                       (13,8)
39                       (13,8)
40                       (13,8)
41                       (13,8)
42                       (13,8)
43                       (13,8)
44                       (13,8)
45                       (13,8)
46                       (13,8)
47                       (13,8)
48                       (13,8)
49                       (13,8)
-----------------------------------
Forwarding Table for Node 14:
Destination Node      Outgoing Link
0                       (14,5)
1                       (14,5)
2                       (14,5)
3                       (14,5)
4                       (14,5)
5                       (14,5)
6                       (14,5)
7                       (14,5)
8                       (14,5)
9                       (14,5)
10                       (14,5)
11                       (14,5)
12                       (14,5)
13                       (14,5)
15                       (14,5)
16                       (14,5)
17                       (14,5)
18                       (14,5)
19                       (14,5)
20                       (14,5)
21                       (14,5)
22                       (14,5)
23                       (14,5)
24                       (14,5)
25                       (14,5)
26                       (14,5)
27                       (14,5)
28                       (14,5)
29                       (14,5)
30                       (14,5)
31                       (14,5)
32                       (14,5)
33                       (14,5)
34                       (14,5)
35                       (14,5)
36                       (14,5)
37                       (14,5)
38                       (14,5)
39                       (14,5)
40                       (14,5)
41                       (14,5)
42                       (14,5)
43                       (14,5)
44                       (14,5)
45                       (14,5)
46                       (14,5)
47                       (14,5)
48                       (14,5)
49                       (14,5)
-----------------------------------
Forwarding Table for Node 15:
Destination Node      Outgoing Link
0                       (15,6)
1                       (15,6)
2                       (15,6)
3                       (15,6)
4                       (15,6)
5                       (15,6)
6                       (15,6)
7                       (15,6)
8                       (15,6)
9                       (15,6)
10                       (15,6)
11                       (15,6)
12                       (15,6)
13                       (15,6)
14                       (15,6)
16                       (15,6)
17                       (15,6)
18                       (15,6)
19                       (15,6)
20                       (15,6)
21                       (15,6)
22                       (15,6)
23                       (15,6)
24                       (15,6)
25                       (15,6)
26                       (15,6)
27                       (15,6)
28                       (15,6)
29                       (15,6)
30                       (15,6)
31                       (15,6)
32                       (15,6)
33                       (15,6)
34                       (15,6)
35                       (15,6)
36                       (15,6)
37                       (15,6)
38                       (15,6)
39                       (15,6)
40                       (15,6)
41                       (15,6)
42                       (15,6)
43                       (15,6)
44                       (15,6)
45                       (15,6)
46                       (15,6)
47                       (15,6)
48                       (15,6)
49                       (15,6)
-----------------------------------
Forwarding Table for Node 16:
Destination Node      Outgoing Link
0                       (16,10)
1                       (16,10)
2                       (16,10)
3                       (16,10)
4                       (16,10)
5                       (16,10)
6                       (16,10)
7                       (16,10)
8                       (16,10)
9                       (16,10)
10                       (16,10)
11                       (16,10)
12                       (16,10)
13                       (16,10)
14                       (16,10)
15                       (16,10)
17                       (16,10)
18                       (16,10)
19                       (16,10)
20                       (16,10)
21                       (16,10)
22                       (16,10)
23                       (16,10)
24                       (16,10)
25                       (16,10)
26                       (16,10)
27                       (16,10)
28                       (16,10)
29                       (16,10)
30                       (16,10)
31                       (16,10)
32                       (16,10)
33                       (16,10)
34                       (16,10)
35                       (16,10)
36                       (16,10)
37                       (16,10)
38                       (16,10)
39                       (16,10)
40                       (16,10)
41                       (16,10)
42                       (16,10)
43                       (16,10)
44                       (16,10)
45                       (16,10)
46                       (16,10)
47                       (16,10)
48                       (16,10)
49                       (16,10)
-----------------------------------
Forwarding Table for Node 17:
Destination Node      Outgoing Link
0                       (17,7)
1                       (17,7)
2                       (17,7)
3                       (17,7)
4                       (17,7)
5                       (17,7)
6                       (17,7)
7                       (17,7)
8                       (17,7)
9                       (17,7)
10                       (17,7)
11                       (17,7)
12                       (17,7)
13                       (17,7)
14                       (17,7)
15                       (17,7)
16                       (17,7)
18                       (17,7)
19                       (17,7)
20                       (17,7)
21                       (17,7)
22                       (17,7)
23                       (17,7)
24                       (17,7)
25                       (17,7)
26                       (17,7)
27                       (17,7)
28                       (17,7)
29                       (17,7)
30                       (17,7)
31                       (17,7)
32                       (17,7)
33                       (17,7)
34                       (17,7)
35                       (17,7)
36                       (17,7)
37                       (17,7)
38                       (17,7)
39                       (17,7)
40                       (17,7)
41                       (17,7)
42                       (17,7)
43                       (17,7)
44                       (17,7)
45                       (17,7)
46                       (17,7)
47                       (17,7)
48                       (17,7)
49                       (17,7)
-----------------------------------
Forwarding Table for Node 18:
Destination Node      Outgoing Link
0                       (18,8)
1                       (18,8)
2                       (18,8)
3                       (18,8)
4                       (18,8)
5                       (18,8)
6                       (18,8)
7                       (18,8)
8                       (18,8)
9                       (18,8)
10                       (18,8)
11                       (18,8)
12                       (18,8)
13                       (18,8)
14                       (18,8)
15                       (18,8)
16                       (18,8)
17                       (18,8)
19                       (18,8)
20                       (18,8)
21                       (18,8)
22                       (18,8)
23                       (18,8)
24                       (18,8)
25                       (18,8)
26                       (18,8)
27                       (18,8)
28                       (18,8)
29                       (18,8)
30                       (18,8)
31                       (18,8)
32                       (18,8)
33                       (18,8)
34                       (18,8)
35                       (18,8)
36                       (18,8)
37                       (18,8)
38                       (18,8)
39                       (18,8)
40                       (18,8)
41                       (18,8)
42                       (18,8)
43                       (18,8)
44                       (18,8)
45                       (18,8)
46                       (18,8)
47                       (18,8)
48                       (18,8)
49                       (18,8)
-----------------------------------
Forwarding Table for Node 19:
Destination Node      Outgoing Link
0                       (19,8)
1                       (19,8)
2                       (19,8)
3                       (19,8)
4                       (19,8)
5                       (19,8)
6                       (19,8)
7                       (19,8)
8                       (19,8)
9                       (19,8)
10                       (19,8)
11                       (19,8)
12                       (19,8)
13                       (19,8)
14                       (19,8)
15                       (19,8)
16                       (19,8)
17                       (19,8)
18                       (19,8)
20                       (19,8)
21                       (19,8)
22                       (19,8)
23                       (19,8)
24                       (19,8)
25                       (19,8)
26                       (19,8)
27                       (19,8)
28                       (19,8)
29                       (19,8)
30                       (19,8)
31                       (19,8)
32                       (19,8)
33                       (19,8)
34                       (19,8)
35                       (19,8)
36                       (19,8)
37                       (19,8)
38                       (19,8)
39                       (19,8)
40                       (19,8)
41                       (19,8)
42                       (19,8)
43                       (19,8)
44                       (19,8)
45                       (19,8)
46                       (19,8)
47                       (19,8)
48                       (19,8)
49                       (19,8)
-----------------------------------
Forwarding Table for Node 20:
Destination Node      Outgoing Link
0                       (20,8)
1                       (20,8)
2                       (20,8)
3                       (20,8)
4                       (20,8)
5                       (20,8)
6                       (20,8)
7                       (20,8)
8                       (20,8)
9                       (20,8)
10                       (20,8)
11                       (20,8)
12                       (20,8)
13                       (20,8)
14                       (20,8)
15                       (20,8)
16                       (20,8)
17                       (20,8)
18                       (20,8)
19                       (20,8)
21                       (20,8)
22                       (20,8)
23                       (20,8)
24                       (20,8)
25                       (20,8)
26                       (20,8)
27                       (20,8)
28                       (20,8)
29                       (20,8)
30                       (20,8)
31                       (20,8)
32                       (20,8)
33                       (20,8)
34                       (20,8)
35                       (20,8)
36                       (20,8)
37                       (20,8)
38                       (20,8)
39                       (20,8)
40                       (20,8)
41                       (20,8)
42                       (20,8)
43                       (20,8)
44                       (20,8)
45                       (20,8)
46                       (20,8)
47                       (20,8)
48                       (20,8)
49                       (20,8)
-----------------------------------
Forwarding Table for Node 21:
Destination Node      Outgoing Link
0                       (21,11)
1                       (21,11)
2                       (21,11)
3                       (21,11)
4                       (21,11)
5                       (21,11)
6                       (21,11)
7                       (21,11)
8                       (21,11)
9                       (21,11)
10                       (21,11)
11                       (21,11)
12                       (21,11)
13                       (21,11)
14                       (21,11)
15                       (21,11)
16                       (21,11)
17                       (21,11)
18                       (21,11)
19                       (21,11)
20                       (21,11)
22                       (21,11)
23                       (21,11)
24                       (21,11)
25                       (21,11)
26                       (21,11)
27                       (21,11)
28                       (21,11)
29                       (21,11)
30                       (21,11)
31                       (21,11)
32                       (21,11)
33                       (21,11)
34                       (21,11)
35                       (21,11)
36                       (21,11)
37                       (21,11)
38                       (21,11)
39                       (21,11)
40                       (21,11)
41                       (21,11)
42                       (21,11)
43                       (21,11)
44                       (21,11)
45                       (21,11)
46                       (21,11)
47                       (21,11)
48                       (21,11)
49                       (21,11)
-----------------------------------
Forwarding Table for Node 22:
Destination Node      Outgoing Link
0                       (22,4)
1                       (22,4)
2                       (22,4)
3                       (22,4)
4                       (22,4)
5                       (22,4)
6                       (22,4)
7                       (22,4)
8                       (22,4)
9                       (22,4)
10                       (22,4)
11                       (22,4)
12                       (22,4)
13                       (22,4)
14                       (22,4)
15                       (22,4)
16                       (22,4)
17                       (22,4)
18                       (22,4)
19                       (22,4)
20                       (22,4)
21                       (22,4)
23                       (22,4)
24                       (22,4)
25                       (22,4)
26                       (22,4)
27                       (22,4)
28                       (22,4)
29                       (22,4)
30                       (22,4)
31                       (22,4)
32                       (22,4)
33                       (22,4)
34                       (22,4)
35                       (22,4)
36                       (22,4)
37                       (22,4)
38                       (22,4)
39                       (22,4)
40                       (22,4)
41                       (22,4)
42                       (22,4)
43                       (22,4)
44                       (22,4)
45                       (22,4)
46                       (22,4)
47                       (22,4)
48                       (22,4)
49                       (22,4)
-----------------------------------
Forwarding Table for Node 23:
Destination Node      Outgoing Link
0                       (23,1)
1                       (23,1)
2                       (23,1)
3                       (23,1)
4                       (23,1)
5                       (23,1)
6                       (23,1)
7                       (23,1)
8                       (23,1)
9                       (23,1)
10                       (23,1)
11                       (23,1)
12                       (23,1)
13                       (23,1)
14                       (23,1)
15                       (23,1)
16                       (23,1)
17                       (23,1)
18                       (23,1)
19                       (23,1)
20                       (23,1)
21                       (23,1)
22                       (23,1)
24                       (23,1)
25                       (23,1)
26                       (23,1)
27                       (23,1)
28                       (23,1)
29                       (23,1)
30                       (23,1)
31                       (23,1)
32                       (23,1)
33                       (23,1)
34                       (23,1)
35                       (23,1)
36                       (23,1)
37                       (23,1)
38                       (23,1)
39                       (23,1)
40                       (23,1)
41                       (23,1)
42                       (23,1)
43                       (23,1)
44                       (23,1)
45                       (23,1)
46                       (23,1)
47                       (23,1)
48                       (23,1)
49                       (23,1)
-----------------------------------
Forwarding Table for Node 24:
Destination Node      Outgoing Link
0                       (24,10)
1                       (24,10)
2                       (24,10)
3                       (24,10)
4                       (24,10)
5                       (24,10)
6                       (24,10)
7                       (24,10)
8                       (24,10)
9                       (24,10)
10                       (24,10)
11                       (24,10)
12                       (24,10)
13                       (24,10)
14                       (24,10)
15                       (24,10)
16                       (24,10)
17                       (24,10)
18                       (24,10)
19                       (24,10)
20                       (24,10)
21                       (24,10)
22                       (24,10)
23                       (24,10)
25                       (24,10)
26                       (24,10)
27                       (24,10)
28                       (24,10)
29                       (24,10)
30                       (24,10)
31                       (24,10)
32                       (24,10)
33                       (24,10)
34                       (24,10)
35                       (24,10)
36                       (24,10)
37                       (24,10)
38                       (24,10)
39                       (24,10)
40                       (24,10)
41                       (24,10)
42                       (24,10)
43                       (24,10)
44                       (24,10)
45                       (24,10)
46                       (24,10)
47                       (24,10)
48                       (24,10)
49                       (24,10)
-----------------------------------
Forwarding Table for Node 25:
Destination Node      Outgoing Link
0                       (25,6)
1                       (25,6)
2                       (25,6)
3                       (25,6)
4                       (25,6)
5                       (25,6)
6                       (25,6)
7                       (25,6)
8                       (25,6)
9                       (25,6)
10                       (25,6)
11                       (25,6)
12                       (25,6)
13                       (25,6)
14                       (25,6)
15                       (25,6)
16                       (25,6)
17                       (25,6)
18                       (25,6)
19                       (25,6)
20                       (25,6)
21                       (25,6)
22                       (25,6)
23                       (25,6)
24                       (25,6)
26                       (25,6)
27                       (25,6)
28                       (25,6)
29                       (25,6)
30                       (25,6)
31                       (25,6)
32                       (25,6)
33                       (25,6)
34                       (25,6)
35                       (25,6)
36                       (25,6)
37                       (25,6)
38                       (25,6)
39                       (25,6)
40                       (25,6)
41                       (25,6)
42                       (25,6)
43                       (25,6)
44                       (25,6)
45                       (25,6)
46                       (25,6)
47                       (25,6)
48                       (25,6)
49                       (25,6)
-----------------------------------
Forwarding Table for Node 26:
Destination Node      Outgoing Link
0                       (26,11)
1                       (26,11)
2                       (26,11)
3                       (26,11)
4                       (26,11)
5                       (26,11)
6                       (26,11)
7                       (26,11)
8                       (26,11)
9                       (26,11)
10                       (26,11)
11                       (26,11)
12                       (26,11)
13                       (26,11)
14                       (26,11)
15                       (26,11)
16                       (26,11)
17                       (26,11)
18                       (26,11)
19                       (26,11)
20                       (26,11)
21                       (26,11)
22                       (26,11)
23                       (26,11)
24                       (26,11)
25                       (26,11)
27                       (26,11)
28                       (26,11)
29                       (26,11)
30                       (26,11)
31                       (26,11)
32                       (26,11)
33                       (26,11)
34                       (26,11)
35                       (26,11)
36                       (26,11)
37                       (26,11)
38                       (26,11)
39                       (26,11)
40                       (26,11)
41                       (26,11)
42                       (26,11)
43                       (26,11)
44                       (26,11)
45                       (26,11)
46                       (26,11)
47                       (26,11)
48                       (26,11)
49                       (26,11)
-----------------------------------
Forwarding Table for Node 27:
Destination Node      Outgoing Link
0                       (27,9)
1                       (27,9)
2                       (27,9)
3                       (27,9)
4                       (27,9)
5                       (27,9)
6                       (27,9)
7                       (27,9)
8                       (27,9)
9                       (27,9)
10                       (27,9)
11                       (27,9)
12                       (27,9)
13                       (27,9)
14                       (27,9)
15                       (27,9)
16                       (27,9)
17                       (27,9)
18                       (27,9)
19                       (27,9)
20                       (27,9)
21                       (27,9)
22                       (27,9)
23                       (27,9)
24                       (27,9)
25                       (27,9)
26                       (27,9)
28                       (27,9)
29                       (27,9)
30                       (27,9)
31                       (27,9)
32                       (27,9)
33                       (27,9)
34                       (27,9)
35                       (27,9)
36                       (27,9)
37                       (27,9)
38                       (27,9)
39                       (27,9)
40                       (27,9)
41                       (27,9)
42                       (27,9)
43                       (27,9)
44                       (27,9)
45                       (27,9)
46                       (27,9)
47                       (27,9)
48                       (27,9)
49                       (27,9)
-----------------------------------
Forwarding Table for Node 28:
Destination Node      Outgoing Link
0                       (28,6)
1                       (28,6)
2                       (28,6)
3                       (28,6)
4                       (28,6)
5                       (28,6)
6                       (28,6)
7                       (28,6)
8                       (28,6)
9                       (28,6)
10                       (28,6)
11                       (28,6)
12                       (28,6)
13                       (28,6)
14                       (28,6)
15                       (28,6)
16                       (28,6)
17                       (28,6)
18                       (28,6)
19                       (28,6)
20                       (28,6)
21                       (28,6)
22                       (28,6)
23                       (28,6)
24                       (28,6)
25                       (28,6)
26                       (28,6)
27                       (28,6)
29                       (28,6)
30                       (28,6)
31                       (28,6)
32                       (28,6)
33                       (28,6)
34                       (28,6)
35                       (28,6)
36                       (28,6)
37                       (28,6)
38                       (28,6)
39                       (28,6)
40                       (28,6)
41                       (28,6)
42                       (28,6)
43                       (28,6)
44                       (28,6)
45                       (28,6)
46                       (28,6)
47                       (28,6)
48                       (28,6)
49                       (28,6)
-----------------------------------
Forwarding Table for Node 29:
Destination Node      Outgoing Link
0                       (29,2)
1                       (29,2)
2                       (29,2)
3                       (29,2)
4                       (29,2)
5                       (29,2)
6                       (29,2)
7                       (29,2)
8                       (29,2)
9                       (29,2)
